"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Respostas,Navegação,"Visitas ao perfil","Toques em figurinhas",Seguimentos
,,,,,,,,,"An error occurred while computing metadata for content with ID 18063684695593612.",Total,737,560,3,0,0,254,1,,
18071327522464120,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,15,"10/21/2025 04:29",https://www.instagram.com/stories/institutolucianeprado/3748249209418058053,"Story do Instagram",,Total,276,231,2,0,0,255,,2,
18018558365601528,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","RedTouch: devolve vitalidade e firmeza à pele do pescoço 💫 @danyfreitas_",23,"10/20/2025 11:30",https://www.instagram.com/stories/institutolucianeprado/3747741207061596205,"Story do Instagram",,Total,311,262,1,1,0,228,,,
17978433350923347,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",@yasminpugliesi,37,"10/20/2025 11:23",https://www.instagram.com/stories/institutolucianeprado/3747733109613818764,"Story do Instagram",,Total,768,579,4,0,1,236,,,
18104304295622240,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Tratando cicatrizes com precisão e cuidado 💫 Estímulo profundo para uma pele renovada. @danyfreitas_",14,"10/20/2025 11:22",https://www.instagram.com/stories/institutolucianeprado/3747732542829161196,"Story do Instagram",,Total,338,281,1,0,1,240,,,
17894726250341540,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Tecnologia que rejuvenesce e redefine contornos ✨ Pescoço mais firme e harmonioso @danyfreitas_",19,"10/20/2025 11:15",https://www.instagram.com/stories/institutolucianeprado/3747729190674253424,"Story do Instagram",,Total,380,309,1,0,0,269,1,,
17937943395085500,17841402073846050,institutolucianeprado,"Instituto Luciane Prado","Day after bodas dos sobrinhos Henrique e Laís💕",49,"10/19/2025 12:40",https://www.instagram.com/stories/institutolucianeprado/3747046982053587738,"Story do Instagram",,Total,382,304,6,0,1,366,,6,
17861763939502312,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/19/2025 12:36",https://www.instagram.com/stories/institutolucianeprado/3747044749215808050,"Story do Instagram",,Total,411,323,7,0,0,352,,2,
17852663061561110,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/19/2025 12:34",https://www.instagram.com/stories/institutolucianeprado/3747044013006430472,"Story do Instagram",,Total,426,328,6,0,1,351,2,6,
18064575326381803,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/19/2025 12:34",https://www.instagram.com/stories/institutolucianeprado/3747043836384277286,"Story do Instagram",,Total,426,337,7,0,2,321,,9,
18067871108074344,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,14,"10/19/2025 12:32",https://www.instagram.com/stories/institutolucianeprado/3747042782691254086,"Story do Instagram",,Total,418,348,10,0,1,357,,,
17980459682761241,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,19,"10/19/2025 08:12",https://www.instagram.com/stories/institutolucianeprado/3746911917118092069,"Story do Instagram",,Total,432,333,7,1,0,360,,6,
18082341688974060,17841402073846050,institutolucianeprado,"Instituto Luciane Prado",,0,"10/19/2025 08:11",https://www.instagram.com/stories/institutolucianeprado/3746911641325846376,"Story do Instagram",,Total,444,348,6,0,0,355,1,2,
